        WAVELENGTH               g40
                1E                1E
         ANGSTROMS              FLAM
         90.900002                 0
         93.500008                 0
         96.099998                 0
         97.700005                 0
         99.599998                 0
               102                 0
             103.8                 0
         105.60001                 0
             107.7                 0
             110.4                 0
               114                 0
             117.8                 0
             121.3                 0
             124.8                 0
             127.1                 0
         128.40001                 0
             130.5                 0
         132.39999                 0
         133.90001                 0
         136.60001                 0
             139.8                 0
             143.3                 0
             147.2                 0
               151                 0
         155.20001                 0
             158.8                 0
         162.00002                 0
               166                 0
             170.3                 0
         173.40001                 0
             176.8                 0
         180.20001                 0
             181.7                 0
         186.10001                 0
               191                 0
         193.89999                 0
         198.40001                 0
             201.8                 0
               205                 0
             210.5                 0
         216.20001                 0
             219.8                 0
               223                 0
             226.8                 0
               230                 0
               234                 0
               240                 0
             246.5                 0
         252.39999                 0
         256.80002                 0
               260                 0
               264                 0
             268.5                 0
             273.5                 0
             278.5                 0
               284                 0
               290                 0
               296                 0
               301                 0
               308                 0
               318                 0
               328                 0
               338                 0
               348                 0
               357                 0
               366                 0
               375                 0
               385                 0
               395                 0
               405                 0
         414.00003                 0
               422                 0
               430                 0
               441                 0
               451                 0
               460                 0
               470                 0
               480                 0
               490                 0
               500                 0
               506     2.4076456E-07
               512     4.2003927E-07
               520     7.6067778E-07
               530     1.5656643E-06
               540     3.0993699E-06
               550     6.0513494E-06
               560     1.1487876E-05
               570     2.1323707E-05
               580     3.8562233E-05
               590     6.9087451E-05
               600     0.00012084676
               610     0.00020782439
               620     0.00035119039
               630     0.00058404135
               640     0.00095608225
               650      0.0015441043
         658.00006      0.0022417754
               665       0.003082762
               675      0.0048089204
               685      0.0074098418
               695        0.01127637
               705       0.016936099
               716       0.026219808
               726       0.038528893
               735       0.053997155
               745       0.077806599
               755        0.11105129
               765        0.15704586
               775        0.22006391
               785        0.30575553
               795        0.42027628
               805        0.57491618
               815        0.77991951
               825         1.0493379
               835         1.4006393
               845         1.8583133
               855         2.4472725
               865         3.2014976
               875         4.1593995
               885         5.3751636
               895         6.9008656
               905         8.8006868
               915         317.79495
               925          2006.088
               935         3293.1731
               945         5343.6851
               955         7858.6626
               965         10259.479
               975         9118.0156
               985         14258.853
               995         15499.973
              1005           19630.9
              1015         22800.012
              1025          16315.99
              1035         28469.705
              1045         34286.859
              1055         39246.105
              1065         42219.316
              1075         49551.566
              1085         55285.906
              1095         58670.066
              1105         1242660.5
              1115         4189950.8
              1125         5409439.5
              1135           5336472
              1145         4360334.5
              1155         4660751.5
              1165         4374289.5
              1175           2577716
              1185         1068358.8
              1195         209925.94
              1205         206025.45
              1215          54502.75
              1225         221103.91
              1235         507881.22
              1245         4324066.5
              1255          13869440
              1265          11770935
              1275          48063912
              1285          76346528
              1295          79592952
              1305          50609000
              1315          93571240
              1325     1.0639758E+08
              1335          94084056
              1345     1.2655593E+08
              1355      1.194646E+08
              1365     1.0532418E+08
              1375      1.238057E+08
              1385     1.2169637E+08
              1395     1.3237858E+08
              1405     1.3202001E+08
              1415     1.1847989E+08
              1425     1.3300798E+08
              1435     1.1857936E+08
              1442      1.348419E+08
              1447     1.5168653E+08
              1455     1.4669357E+08
              1465     1.2904738E+08
              1475     1.2348706E+08
              1485     1.3560398E+08
              1495     1.4706312E+08
              1505     1.4967594E+08
              1512     1.3031647E+08
              1517     1.4505493E+08
              1525     1.1940685E+08
              1535     1.0263805E+08
              1545     1.4094336E+08
              1555     1.2318554E+08
              1565     1.1240271E+08
              1575     1.2562009E+08
              1585     1.3759477E+08
              1595     1.4792152E+08
              1605     1.3725957E+08
              1615     1.3478939E+08
              1625     1.1932251E+08
              1635      1.287653E+08
              1645     1.3575534E+08
              1655     1.0891661E+08
              1665     1.3285058E+08
              1672          90475928
              1677     1.2622744E+08
              1685     1.4188302E+08
              1695     1.2837571E+08
              1705     1.2126416E+08
              1715     1.1956081E+08
              1725      1.174709E+08
              1735     1.2610139E+08
              1745     1.2350223E+08
              1755      1.378969E+08
              1765     1.1498095E+08
              1775      1.300359E+08
              1785     1.2795635E+08
              1795      1.429039E+08
              1805     1.3533515E+08
              1815      1.322469E+08
              1825     1.2786071E+08
              1835     1.2218587E+08
              1845     1.1088233E+08
              1855     1.1875518E+08
              1865     1.1954298E+08
              1875      1.253116E+08
              1885     1.2257542E+08
              1895      1.227329E+08
              1905     1.1636105E+08
              1915     1.2189826E+08
              1925     1.2284119E+08
              1935     1.1861668E+08
              1945      1.252374E+08
              1955     1.2280622E+08
              1967     1.2841062E+08
         1976.0001     1.2695407E+08
              1984       1.22439E+08
              1995     1.1768494E+08
              2005     1.1631714E+08
              2015     1.1134273E+08
              2025     1.1170651E+08
              2035     1.1385902E+08
              2045      1.189189E+08
              2055     1.1332177E+08
              2065     1.1082217E+08
              2074     1.1721054E+08
              2078     1.1926366E+08
              2085     1.1754561E+08
              2095     1.1286398E+08
              2105     1.0869093E+08
              2115     1.0869302E+08
              2125     1.1086773E+08
              2135          94392848
              2145     1.0499431E+08
              2155      1.066018E+08
              2165     1.0055576E+08
              2175          98805016
              2185          98896944
              2195     1.0534791E+08
              2205     1.0026464E+08
              2215          92005240
              2225          89513544
              2235          99846032
              2245          89323536
              2255          87199512
              2265          87995376
              2275          92922896
              2285          96029288
              2295          90187424
              2305          88300432
              2315          84235328
              2325          66078056
              2335          78549064
              2345          72399880
              2355          83435968
              2365          72574776
              2375          77254576
              2385          67408768
              2395          74977960
              2405          70805992
              2415          72998400
              2425          78650128
              2435          74682440
              2445          80387312
              2455          76877192
              2465          76918112
              2475          73351928
              2485          77509080
              2495          74444056
              2505          82958416
              2513          73417216
              2518          74480680
              2525          69394328
              2535          68466864
              2545          68517328
              2555          74174296
              2565          73413832
              2575          78645720
              2585          78190640
              2595          76056296
              2605          72853160
              2615          72010552
              2625          77077856
              2635          76933424
              2645          85474856
              2655          84073280
              2665          77285112
              2675          80551672
              2685          79775104
              2695          76367664
              2705          78368104
              2715          74336960
              2725          74964312
              2735          80450680
              2745          68146232
              2755          68942928
              2765          71529864
              2775          75736240
              2785          72400480
              2795          47425348
              2805          54503164
              2815          76218712
              2825          78328304
              2835          75334600
              2845          72636976
              2855          71065992
              2865          75385328
              2875          73052376
              2885          74461432
              2895          71929640
              2910          78592832
              2930          75417176
              2950          75038728
              2970          75419552
              2990          75808776
              3010          76883768
              3030          75634144
              3050          74924912
              3070          73927888
              3090          74642976
              3110          72720064
              3130          72401272
              3150          72737736
              3170          71976512
              3190          69340528
              3210          70643584
              3230          69200904
              3250          69486032
              3270          69561728
              3290          69620008
              3310          69633976
              3330          68290440
              3350          67255912
              3370          67096888
              3390          66199340
              3410          66931604
              3430          66438332
              3450          65936132
              3470          64996784
              3490          64569452
              3510          64881508
              3530          64740952
              3550          64467912
              3570          63392900
              3590          62945768
              3610          62519080
              3630          62180864
              3640          61890860
              3650          63036780
              3670          60925112
              3690          55604408
              3710          61337316
              3730          63955008
              3750          81346984
              3770          85456096
              3790     1.0725622E+08
              3810     1.2615815E+08
              3830          98355328
              3850     1.3854074E+08
              3870     1.5699931E+08
              3890          84689104
              3910     1.5504546E+08
              3930     1.5037118E+08
              3950     1.5343752E+08
              3970          79926352
              3990     1.4687899E+08
              4010     1.6091538E+08
              4030     1.5989512E+08
              4050     1.5816131E+08
              4070     1.5077723E+08
              4090     1.1688527E+08
              4110          88071256
              4130     1.4120904E+08
              4150     1.4746134E+08
              4170     1.4583358E+08
              4190      1.441271E+08
              4210     1.4232314E+08
              4230     1.3956558E+08
              4250     1.3758144E+08
              4270      1.344691E+08
              4290     1.3346182E+08
              4310     1.2590467E+08
